Index,Start Time,Stop Time,Event,Description,Active
440,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     TU TROCADOR CALOR PRINC AGUA,IS PLACED IN THE OPEN STATE                     ,Yes
441,01/Feb/2022 00:20:02,,STATUS PT.  U13     TU TROCADOR CALOR PRINC AGUA,IS PLACED IN THE OPEN STATE                     ,Yes
442,01/Feb/2022 00:20:02,,STATUS PT.  U13     TURBINA VALVULA BORBOLETA 1 ,IS PLACED IN THE OPEN STATE                     ,Yes
443,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     TURBINA VALVULA BORBOLETA 1 ,IS PLACED IN CLOSED STATE                       ,Yes
444,01/Feb/2022 00:20:02,,STATUS PT.  U13     TURBINA VALVULA BORBOLETA 2 ,IS PLACED IN THE OPEN STATE                     ,Yes
445,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     TURBINA VALVULA BORBOLETA 2 ,IS PLACED IN CLOSED STATE                       ,Yes
446,01/Feb/2022 00:20:02,,ANALOG PT.  U13     EXCITACAO POTENCIOMETRO AUTO,IS SET TO      0.0000                           ,Yes
447,01/Feb/2022 00:20:02,,ANALOG PT.  U13     EXCITACAO POTENCIOMETRO MANU,IS SET TO      0.0000                           ,Yes
448,01/Feb/2022 00:20:02,,ANALOG PT.  U13     GERADOR CORRENTE            ,IS SET TO      0.0000                           ,Yes
449,01/Feb/2022 00:20:02,,ANALOG PT.  U13     GERADOR TENSAO RDV          ,IS SET TO OVERRIDE VALUE      0.0000            ,Yes
450,01/Feb/2022 00:20:02,,ANALOG PT.  U13     REG_VELOC DISTRIBUIDOR POSIC,IS SET TO      0.0000                           ,Yes
451,01/Feb/2022 00:20:02,,ANALOG PT.  U13     REG_VELOC VELOCIDADE DA UNID,IS SET TO      0.0000                           ,Yes
452,02/Feb/2022 00:10:00,,PARADA U09                                      ,                                                ,No
453,02/Feb/2022 00:10:00,,PARADA U16                                      ,                                                ,No
454,02/Feb/2022 00:10:00,,STATUS PT.  SF6_50  VANO_U09 SEC 95U09 A-25     ,IS PLACED IN THE OPEN STATE                     ,Yes
455,02/Feb/2022 00:10:00,,STATUS PT.  U09     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN THE OPEN STATE                     ,Yes
456,02/Feb/2022 00:10:00,,STATUS PT.  U9A     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN THE OPEN STATE                     ,Yes
457,02/Feb/2022 00:10:00,,STATUS PT.  U9A     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN CLOSED STATE                       ,Yes
458,02/Feb/2022 00:10:00,,STATUS PT.  SF6_60  VAO_U16 SEC 96U16 A-50      ,IS PLACED IN THE OPEN STATE                     ,Yes
459,02/Feb/2022 00:10:00,,STATUS PT.  U16     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN THE OPEN STATE                     ,Yes
460,02/Feb/2022 00:10:00,,STATUS PT.  U17     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN THE OPEN STATE                     ,Yes
461,02/Feb/2022 00:10:00,,STATUS PT.  U17     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN THE OPEN STATE                     ,Yes
462,02/Feb/2022 00:10:00,,STATUS PT.  SF6_50  VANO_U9A INT 85U9A A-27     ,IS PLACED IN THE OPEN STATE                     ,Yes
463,02/Feb/2022 00:10:00,02/Feb/2022 00:19:04,STATUS PT.  SF6_60  VAO_U16 DISJ 06U16 PROTECAO ,IS PLACED IN CLOSED STATE                       ,Yes
464,02/Feb/2022 00:10:00,02/Feb/2022 00:19:04,STATUS PT.  SF6_60  VAO_U16/17 DISJ 46U67 PROTEC,IS PLACED IN CLOSED STATE                       ,Yes
465,02/Feb/2022 00:10:00,,STATUS PT.  U09     AGUA_PURA VALV AGUA BRUTA   ,IS PLACED IN THE OPEN STATE                     ,Yes
